q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
Business services,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Finance,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Media,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Telecommunications,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Chemical Manufacturing,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Business services,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Healthcare,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Information techfalselogy,manager,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
